Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Brown, Callum",CW,22,160,58,162,322,11,13, ,89,8,63,13,34,22,15, ,114,218,1,9,21,13,10
"OConnor, Mark",GE,23,195,104,127,322,1, , ,61,56,23,11,44,14,13, ,109,213,7,1,61,3,2
"Wilson, Nathan",FR,18,256,66,66,322, ,3, ,22,105,37,2,47,7,10, ,80,196,1, ,52,13,2
"Baker, Liam",RI,19,166,63,155,321,8,10, ,61,22,48,16,49,16,21, ,119,200,2,10,21,2,7
"Witts, Jarrod",GC,22,188,64,132,320,3,3,1008,67,27,43,109,58,48,22,1,206,118,11,3,47,2,3
"de Boer, Matt",GW,19,122,46,196,318,4,7,1,100,8,28,66,47,21,27, ,146,176,1,3,21,1,8
"Thomas, Josh",CW,22,157,65,159,316,22,11, ,52,11,52,16,40,12,9, ,116,212,2,16,18,4,10
"Davis, Phil",GW,23,196,162,120,316,1,1, ,42,67,21,1,50,28,19,3,118,195,26, ,164,2,2
"Mihocek, Brody",CW,24,213,141,102,315,36,26, ,49,5,78,6,58,29,15,4,139,181,35,43,39,3,14
"Burton, Ryan",PA,16,220,61,95,315,4,4, ,33,66,32,12,48,9,15, ,91,178,3,2,34,2,2
"McCarthy, Lincoln",BL,24,179,70,135,314,20,13, ,94,5,63,32,74,14,32,2,163,171,14,21,28,12,14
"Langford, Kyle",ES,18,162,64,152,314,15,3, ,56,18,49,40,47,13,21, ,124,191,8,13,21,9,5
"Liberatore, Tom",WB,15,139,41,175,314,6,8, ,59,10,49,79,36,15,15, ,154,159,2,2,20,2,4
"Hooker, Cale",ES,18,178,136,135,313,4,2,2,15,77,9,4,49,16,13, ,120,182,32,7,118,2,1
"Gunston, Jack",HW,20,221,111,89,310,26,21,3,46,17,59,3,30,11,9,5,98,207,17,32,43,2,17
"Mackay, David",AD,18,185,57,125,310,3,1, ,50,59,48,18,30,9,7, ,87,230, , ,31,7,6
"Grimes, Dylan",RI,24,172,129,138,310, , , ,52,68,15,5,37,24,17,3,129,176,29, ,153,16,2
"Hawkins, Tom",GE,24,203,126,106,309,56,32,28,37, ,38,19,51,14,24,5,148,171,38,70,37,1,24
"Milera, Wayne",AD,17,184,93,125,309,6,7, ,52,41,34,24,41,9,10, ,82,221,11,7,37,6,4
"Cerra, Adam",FR,20,187,74,122,309,2,7, ,44,44,42,15,41,14,7, ,95,204,7,3,53,2,5
"Gibbons, Michael",CA,21,196,69,112,308,16,14, ,57,8,67,35,57,13,20, ,99,196,1,11,17,3,10
"Acres, Blake",SK,19,154,70,154,308,6,5,9,73,19,51,40,44,17,20, ,120,196,8,9,26,12,13
"Lipinski, Patrick",WB,14,137,65,170,307,11,4, ,50,13,39,34,39,7,12, ,87,222, ,9,17,1,14
"Plowman, Lachie",CA,21,220,96,85,305, , , ,48,76,21,10,34,18,9, ,99,173,7,1,104,3,2
"Wines, Ollie",PA,12,135,41,168,303,7,4, ,59,5,53,64,44,4,10,6,124,171,1,7,12, ,5
"Breust, Luke",HW,22,165,61,137,302,34,17, ,85,6,64,24,41,29,14,2,169,148,15,23,30,6,18
"Astbury, David",RI,22,209,132,90,299,1, ,2,12,76,10, ,34,19,13, ,91,200,15,1,125, , 
"McLean, Toby",WB,19,142,72,156,298,14,10, ,62,5,46,18,38,22,14, ,109,198,4,16,29,3,10
"Himmelberg, Harry",GW,25,169,105,128,297,38,12,4,48,2,51,13,57,19,26,1,141,170,26,40,79,5,27
"Setterfield, Will",CA,18,183,58,114,297,6,12, ,56,21,53,27,51,15,10,1,97,208,2,7,21,3,7
"Frost, Sam",ME,22,188,95,108,296, ,2, ,35,71,19,2,64,16,23, ,123,169,14,1,116,5,3
"Cameron, Charlie",BL,24,217,81,78,295,57,32, ,49,5,58,16,47,25,23,11,120,168,8,40,18,11,15
"Caddy, Josh",RI,18,178,64,116,294,17,9, ,60,17,58,33,45,14,13, ,123,165,3,10,33,7,12
"Keath, Alex",AD,18,188,112,106,294,1, ,4,30,57,20,5,40,14,16,6,126,168,20, ,94, , 
"Adams, Taylor",CW,12,174,47,119,293,5,5, ,61,21,50,67,48,13,22, ,118,177, ,5,14,9,13
"Stack, Sydney",RI,17,132,83,160,292,10,9, ,51,20,38,6,24,12,7, ,108,185,8,5,32,6,8
"Burgoyne, Shaun",HW,18,175,77,117,292,7,3, ,65,48,43,21,33,13,13, ,101,172,10,5,55,3,6
